,product_title,product_category,review_body,review_headline,star_rating,total_votes,word_length
24,"Universal Pu Leather Folding Folio Case Cover with Keyboard for Alcatel Onetouch POP 7s , Pixi 7 , POP 8 , POP 7 , T10, Evo 7 , Evo 7 Hd , Tab 8 Hd, Tab 7 , Tab 7 Hd/ Alcatel One Touch Evo 8hd 8 Inch /",Wireless,"Excellent addition to my alcatel one touch pop 7 ,,, case is attractive and we'll made, the keyboard works great with my tablet .. this product brings my tablet to a new level",Pairs well with my alcatel onetouch pop 7 tablet,5,1,33
25,Bluetooth Headphones TOSHENG In-Ear Wireless Hands-free Phone Earphone Sport Earbuds,Wireless,"Not bad. I LOVE these style of Bluetooth headsets. This one is slightly different from my very first pair I got over a year ago. They are the same shape but this one is not as finished as my current set.  The sound quality is not as clear as my QCY set but is pretty good. It has a nice balance of sound and the bass is sufficient. The sound quality is not like those expensive Beats or bose headphones, but it’s good enough for the price point. These go in the ear so it does block sound out. It blocks noise out so well that when I’m using these in the office, I can get more work done because I don’t hear the chatter of people around me.<br /><br />These use your standard micro usb cables so there’s no fear if you lose the cable that this set comes with. It charges up full in about an hour from dead and right out of the box it charged up in about 30 minutes. The battery life lasts me about 3 work days before needing to be recharged and that includes using it while on the way home from work which is a one hour minimum drive to and from the office.<br /><br />When using this for phone calls, you must leave the left ear piece hanging down around your neck. The microphone is on that earpiece. If you leave it in your ear, the person on the other end will not hear you clearly because the mic will be by your ear. The one thing this set is missing is a clip so you can clip that ear piece onto your collar for phone calls. If you’re like me and always moving around, if the earpieces shuffles around, the person on the phone can hear all the movement.<br /><br />Also, the volume button. It is very temperamental. When I try to hit volume up, I barely touch it and it adjusts volume. When I press down on it adjust volume it has a slow reaction. It’s almost like it works like a touch screen. Holding down the volume up and down buttons while listening to music will skip forward and back on your song list. With very minimal buttons, this is a very easy headset to use. It comes with an instructional booklet complete with photo to show you where the buttons and mic are.<br /><br />It comes with multiple ear pieces so you can change them out to the most comfortable size for you.<br /><br />I was provided a promotional sample for my honest review.s with an instructional booklet complete with photo to show you where the buttons and mic are.<br /><br />It comes with multiple ear pieces so you can change them out to the most comfortable size for you.<br /><br />I was provided a promotional sample for my honest review.",Not bad at all.,4,0,485
26,"Waterproof Case, E LV Universal Waterproof Case For Apple 6 5S, 5, 4S Galaxy S6 Edge, S6, S5, S4 S3, HTC One, iPod touch, MP3 Player and many more (Fits other Smartphones up to 5.1"" diagonal) - IPX8 Certified to 100 Feet",Wireless,"Daughter couldn't go down the river without her phone, so we had to get a case.  This worked perfectly. Not so big that it was hard to carry, and kept the water out!  She keeps it in the bathroom now and uses it when she takes a bath.  Glad it works!",No water here,5,0,54
32,"iPhone 6 Case, MagicMobile® Rugged Dual Durable Armor Case Impact Resistant Shockproof Double Layer Hard Shell with Soft Flexible Black Silicone Skin Cover",Wireless,the only reason i didn't give this 5 stars was that it was super tough to get on and off the phone. other than that it's a solid case and it worked to expectation. i dropped my phone a few times while using this case and the case held up.<br /><br />i was given this case at a discounted rate in return for an unbiased opinion.,... didn't give this 5 stars was that it was super tough to get on and off the phone,4,0,66
33,"iClever 2 in 1 Desktop Apple iWatch Bamboo Wood Stand, Compatible For Both 38mm and 42mm Apple Watch and Iphone7,6plus,6, 5s, 5.",Wireless,"I purchased this as a gift for my brother who just got an Apple watch in July. He loves it! Being a person who works with wood, he especially loved the wood look, very pretty. It works quite well and was well-priced on Amazon.",Beautiful Watch Stand/Charger,5,0,44
36,LANDFOX Dream Catcher Painting Soft TPU Case Cover For iPhone 6 6G 4.7 inch,Wireless,"It's okay. I like the dreamcatcher graphic a lot. The case itself is very thin and the edging on her sides is not seamless. The edges have a small plastic &#34;tail&#34; that is left over from when the case was cut. It's not horrible but it is noticeable and annoying.<br /><br />Not sure what I expected though, afterall its $5.",I like the dreamcatcher graphic a lot,2,0,60
38,LG AKA H788 Mobile Phone (White) - International Version No Warranty,Wireless,"I'm not going to tell you that you should buy this phone, I'll givethe pros and the cons and let you decide for yourself Pros &#34;Durable&#34;    I don't know if Lg of America purposely makes they're phones in America easy to break the screen but this one Right here is a champion. Dropped this on cement, Hard Tile floor, on the sidewalk, and a few Other non carpeted areas. I don't know if it's the construction itself that makes it strong or maybe that LG Of Korea purposely made this phone very strong since it's marketed to teens and younger folks, or maybe it's because every time you dropped the phone instead of it's falling all in one piece and absorbing all the Impact, the back comes off and the battery comes out oftentimes but when you put it back together it works fine. I even had a few front facing dropS so many times I thought oh my God this is it my phone is shattered but I was wrong I am so confident in this phone that I Could do a ear height drop test anytime anywhere and I'm 100 percent sure it won't break and I'm 5ft 10. I don't even have a case on it it's just the screen protector and that's it.  Good Conversation starter (The Eyes)  you have no idea how many conversations have started Because of this.  Me: *Takes my phone out of my pocket to see notifications*  Her: &#34;Omg, does your phone have eyes? Thats sooo cute&#34;  Me:yeah, it's a lil phone from Korea. The Lg aka. check it out it's eye's move too. It even blinks too Her: Thats so adorable, Im ******* by the way.  Continue talking and i ended up getting so many kiks/phone number because of that but i digress. (It's Still Corvette over females doe) A great way to break the ice.  Audio  The Sounds sounds great coming through the speakers no cracking or nothing like that, it's not super loud but if you put it at full volume here and enjoy it even if you're a good distance away. earbuds, it works with every pair of earbuds I have very compatible. Crisp .plus with the LG software their version of the music app you have the option to increase t, the treble, all that. I love that features some songs just don't sound the same without all that bass.let's see what else can I say about the sound? the notifications can be nice and loud. And yeah if you're really into music this is a great phone.  Design   if you are coming from some other company and you're used to the buttons on the sideit'll take a little while but eventually you'll get used to the volume rockers and power button being on the back. and if you don't want to have to deal with that this phone has knock knock you tap on the screen twice to wake it up and then you can enter your password and all that instead of using the little button on the back. and most of the time you can use the littles options At top to adjust the volume but as I said before it's pretty easy To get used to. Plus the phone looks nice, its not ugly.  Call quality The call quality is decent. I thought since this phone was from overseas the call Quality might be off but now it's on point. Texting works normally too .  The speed  if you are used to be mid-range phones, this is quite a little Speedy One.   The Flex factor  lots of people buy Phones As fashion statement, the question is if my  put his galaxy/iPhone/Note/ on the table and you put yo phone next to theirs how would it stack up? I would give this phone a 7. Its pretty nice and if you keep it clean(its easy,every not and again wipe wit a lil rubbing alcohol) you can flex on anyone. Looks like one of them $700 Flagships. If yo guy friends see the eyes however they might clown ya. But that don't matter. The eyes are cool to me and that's all that matter.  Security Lots of options to keep it safe. Bunch of lock options and it has lookout too.at least mine did you might have to install it.  accessories  If you like customization this phone comes with funny lil stickers to put on it. If you older you might not care but i found this cool.  Weight  Its not heavy. I likes this.   OsThe operating system is Kitkat, I personally like KitKat. it gets the job done and it doesn't have too many features that I'll never use thatll just drain my battery.  Memory   16 gigs of internal space . And thats good considering my other phone before this had 8 . Up to 32 gb with a memory card but I used a 64 gb chip and it's worked fine.  Auto focus lazer  Cool feature on the camera very useful. And it can shoot high resolution video  Battery   lasts a while. I can get 6 hours wifi on heavy use but if the brightness is at 100 you lose some up time. And if yiu get a replacement battery you can just switch it out bam.  Cons  Camera isn't highest quality. Kinda grainy.  Not waterproof/Water resistant. Thats how my broke. Not broke but it's messed up pretty bad.   Price. Depending on what color you get this can go up to be 300 dollars, them Amazon vendors tryna rip y'all off this a $200/$250 Phone don't be rash wait till the price go down.  Front facing camera is not that great either but you can see so its not complete trash.  Too much stuff. Too many apps pulling on the ram makes it studder occasionally. Not bad but you'll notice it.   5 inches. I came from 4.7 in, i though well .3 in isn't that big of a jump but I was wrong, sometimes I have difficulty reaching the top of the screen to pull down my notification thing. Not the phone fault my hands just wasn't  for 5 in.   Micro sim. I had a regular sim. But its alright T-Mobile switch it and gave me a new one free.  I lied at the start. You should buy this if you think it's cool",Too Many people Sleeping on this phone,5,2,1110
41,Luxsure Aluminum Metal Case Underwater Waterproof Shockproof Snowproof Dustproof Durable Full Sealed Protection Case Cover with Fingerprint Recognition Touch ID for Apple iPhone 6/6S(Blue),Wireless,"&#34;This a great looking and highly functional case for the iPhone 6.It is a nice solid construction and doesn't add too much bulk to the phone.The case is a little stiff and not that easy to separate.You need to follow the instruction carefully.You should  remove screen protectors at first.<br />You are advised to test the case for waterproofness by placing a piece of paper in the case then dunking it in water. This I did with no problems, the paper was bone dry All the ports are sealed with stoppers so it should be completely sealed.<br />The buttons were still easy to press with the case on and the fingerprint sensor works perfectly;<br />All in all, I like this case and recommend it. &#34;",Great case!,5,18,125
42,Xtreme Bluetooth Wireless Music Receiver  - Black,Wireless,"This is my 8th time buying one of these. Not because they don't last, but because everyone always thinks they are cool and I let them have it. Love the fact that you can turn anything with an AUX input to Bluetooth!",You need to buy one!!!,5,0,42
43,Garmin 2,Wireless,Its annoyingly good at reminding me to get up and move.  Wish it would track 'movement' as well as steps.. and of course I wish it had a vibrate feature. but so far so good.,Vivofit2 review,4,0,36
45,"CamRah iPhone Camera Lens Kit with 3 Universal Lenses, Fisheye Wide Angle and Macro, 2 Lens Clips, Octopus Tripod, storage bag and photo tips",Wireless,I liked the macro lens the most. So sharp! I gave it 4 stars because the wide angle had so much vignette. But this thing is totally worth the money! Works in Sony Xperia z3 compact.,I liked the macro lens the most,4,0,36
49,Spigen Neo Hybrid Galaxy Note 4 Case with Flexible Inner TPU and Reinforced Hard Bumper Frame for Samsung Galaxy Note 4 2014,Wireless,"Fantastic case. Looks slick as can be. The hard buttons remain fully functional. Only reason it doesn't get a 5 is that the case is very difficult to remove, and also, the input for the charger will not fit all chargers. Otherwise, it's a beautiful case.",Fantastic case. Looks slick as can be,4,0,46
51,Jaybird Freedom Sprint Bluetooth Headset  - Storm White,Wireless,"They sounded okay, they had plenty of the skipping that is all too well known with bluetooth headphones, very difficult for me to get the right fit with these. I wanted to like these headphones, but the Blue Buds X were just a hands down winner, the Blue Buds just have too many better features to go with freedoms instead. Durability wise, only time will tell. But these freedoms weren't as good sounding to me, the ear hooks were not as comfortable as I was expecting, I also prefer the Blue Buds due to their smaller size. The price is higher, I bit the bullet and bought them and I am so much happier with them than I was with the cheaper alternatives. I use the Comply Foam Tips and they improve any set of headphones dramatically in My opinion.",I wanted to like these headphones,3,0,140
54,Speck Products SmartFlex Card Case for iPhone 5,Wireless,"Nice product.  Does, as advertised.  Getting used to not carrying a wallet and only carrying necessary with me.",Five Stars,5,0,20
55,Caudabe: The Veil for iPhone 6 (4.7) Premium Ultra Thin Case [Eco-friendly retail packaging],Wireless,"Fits perfectly. Saved my iPhone from getting damaged quite few times, forcing me to keep using.<br />Though the case is a lot slippery i liked it more than the leather one I bought at Apple Store.<br />Looks not compromised.<br />Phone feels lot slimmer. No weight added.<br />Overall great case :)",Though the case is a lot slippery i liked it more than the leather one I bought at ...,5,1,50
56,"HTC Desire 626 Case, HTC Desire 626s Case, ATUS® HTC Desire 626s, HTC Desire 626 Armor Series - Heavy Duty Dual Layer Holster Case Kick Stand with Locking Belt Swivel Clip + Ultra-sensitive Stylus Pen",Wireless,Case is pretty decent nice snug fit on my phone but the kick stand on the phone is really difficult to use.,Case is pretty decent nice snug fit on my phone but the ...,3,0,22
58,Hybridized Clarity Clear back panel,Wireless,Not what I expected at all.  Online description misleading.  Gave it away for my son to play with  don't waste your money,Gave it away for my son to play with don't waste your,1,1,25
60,"Generic 3.5mm Jack Zipper earphone Earbuds with Remote and Mic for Iphone , samsung -Blue",Wireless,"Quality is not great but for the price is completely acceptable. Very cool design and zipper works easily; cloth cord does not tangle much. Bought these mostly for the cool and anti-tangle design, very pleased with it. Would be 5 star if not for the sound quality but I would buy these again if I needed another pair of cheap earbuds to toss in a bag and take out without having to spend ten minutes detangling them.",Good value,4,0,77
61,"Amoner Durable-Series 10ft 8 Pin USB Charging Cable Syncing Cord, 3 Piece - White",Wireless,"Doesn't work on my iPad Air. Would not advised purchasing this product. I have tried different charging bricks and it's the same thing, I get a message that my iPad is not charging.",totally disappointed. Do not buy this product,1,2,33
62,"iPhone 5 Case, iPhone 5S Case, Case Ace® Silicone Slim Protective iPhone 5 5S Case Cover for Apple iPhone 5/5S",Wireless,"This case did not work with aftermarket charger cords; but to clarify they did work with my cords purchased from Apple. I had to notch out the openings a bit to get the aftermarket cord to fit. Otherwise, durable and dependable.",This case did not work with aftermarket charger cords; ...,3,2,41
66,"LG G3 Case, Caseology [Daybreak Series] Slim Fit Shock Absorbent Cover [Lime Green] [Slip Resistant] for G3 - Lime Green",Wireless,Great case! Fits perfectly even with a tempered glass screen protector. It does add bulk to the phone but makes it easier to carry which is a huge plus :) Lime green is a fantastic color.,Great case! Fits perfectly even with a tempered glass ...,5,0,36
68,NakedShield Alcatel One Touch Evolve 2 4037T (Blue Phone Box) Total Hard Armor LifeStyle Phone Case,Wireless,"I'm 50/50 about this product. It's not bad, but I wish it would've been a bit more durable and less thin plastic-y.","It's not bad, but I wish it would've been a bit ...",3,0,22
70,"Anker 40W/8A 5-Port USB Charger PowerPort 5, Multi-Port USB Charger for iPhone SE/6/6 Plus, iPad Air 2/Pro/mini 3, Samsung Galaxy S7/S7 Edge/S6/S6 Edge, LG G5 and More",Wireless,After seeing and using ours a friend asked that I get one for her as well - This is a great charger and a great buying experience.,... one for her as well - This is a great charger and a great buying experience,4,0,27
72,"IMKEY® Premium 10FT Extra Long Gold-Plated Micro USB 2.0 Sync Data Charging Cord Cable For Samsung Galaxy Tab 3 7.0/ 8.0/ 10.1,Samsung Galaxy Tab 4 7.0/ 8.0/ 10.1 , Pro 8.4/ 10.1/ Note 10.1 2014 Edition",Wireless,The part that connects to the tablet broke after the first use. No kidding. The part that is important is actually the weakest part. I was so disappointed. The cord looked so high quality and beautiful.,I was so disappointed. The cord looked so high quality and beautiful,1,0,36
75,Raysun® Premium Ballistic Tempered Glass Screen Protector for Apple iPad Air iPad 4 iPad 3 iPad 2 iPad Mini iPad Mini Retina - 0.33mm 8-9h Hardness,Wireless,Glass shattered during installation. There is no protective cover on the front side of the glass to protect it during installation on the device.  The instructions on the package do not correspond to the actual contents of the box for installation.  Overall poor installation instructions.  I have no idea who the product performs as I never made it that far.<br /><br />I have installed several Zagg glass screen protectors and never had one break before.  This brand is well below the quality of Zagg Glass.  The only reason I tried this brand is that Zagg does not make one for the Kindle HD 7.  A very disappointing result.,Not so great,1,0,114
78,"BESDATA Universal Car Cassette Player Adapter with 3.5mm Male Jack and 2.5mm Plug Adapter for iPod, iPad, iPhone, MP3, Mobil Device, Black",Wireless,"Good cassette adapter.<br />My husband and I just bought a Subaru OUtback 2002 with CD and cassette players.<br />We were afraid to try this to plug our cell phones into the car stereo, because some reviews say that it completely damaged the car sound system, but so far, we've been using for 4 days and , it has been working in a very good way.<br /><br />The only thing that I didn't like, which prevented me for putting 5 stars, it was a small interference sound when I move the cell phone. That is all.","Has been working just fine, with the exception of a small interference sound when I move my cell phone",4,0,95
79,"Universal Waterproof Case, JOTO CellPhone Dry Bag Pouch for Apple iPhone 7 Plus 6S 6 Plus SE 5S, Samsung Galaxy S7, S6 Note 5 4, HTC LG Sony Nokia Motorola up to 6.0"" diagonal",Wireless,Good product.  Please note that it is not a floating case.  They don't claim it is but I somehow was thinking it was.  It is a good price and does what it says.,Good product. Please note that it is not a ...,5,0,36
83,"ASC Single 15"" Subwoofer 1"" MDF Universal Fit Vented Port Sub Box Speaker Enclosure",Wireless,The box was alright but after a short while the box starts falling apart and it rattles about ten times louder than the actual sub. Ruins the listening experience majorly. Ended up putting in screws throughout most of the box and still can not find the source of the rattling exactly.,Not a very suitable option,2,0,51
84,E-PRANCE EP-1512 Cigarette Lighter Power Adapter with 3 DC Sockets,Wireless,"It took a little time for me to write this review because I prefer to try a product out completely over time. I did have a problem with the cable, the camera would shut off when the car was in motion and I would have to screw around with the connector to get it to turn on again, after a few miles it would shut off again, this was corrected when I notified the company which promptly sent me a new cable. The problem now seems to be fixed. About the camera itself...it's a really good little camera, the picture is really clear and the colors are very natural. This camera rivals many more expensive models. Take a look at the YouTube videos, they speak for themselves. The only problem I have (with any of these cameras) is, the setting buttons are really small, for a man's hands that can be a problem, but other than that I really don't have any other complaints with this camera. It does what it was designed to do. The company is really nice to deal with if you do have a problem, like with any electronic device, things can and do go wrong sometimes, but this company responds quickly to rectify a problem which keeps their costumers happy. Over all, I'm very satisfied with my purchase and would recommend this very reasonably priced camera to any one looking to purchase a car camera. When an accident happens, and they do, it's nice to have a visual account to protect yourself. This is a very sensible purchase for anyone.",it's a really good little camera,5,7,265
86,AmazonBasics Apple Certified Lightning to USB Cable - 6 Feet (1.8 Meters) - White,Wireless,"I bought this charger because it was long and apple certified and from Amazon. However, I have had it for about a month and now no longer works because it is says it isn't apple certified which is the way it is described in the name of the product. I hope the company can send me a new iPhone charger because this one is no longer working.",Not Apple Certified,1,0,67
87,Sentey LS-4560 B-trek H9 Bluetooth Wireless Foldable Headphones with Carrying Case,Wireless,"Works as described.  I bought it to have earphones with some noise blocking capability for use on a tractor.  I have ear-bud phones which block noise and these block better with better sound and no more gooey-squishy-sweat in my ear canals.  I have paired it with 2 tablets (one android, one Windows) and my phone all easily.  Good sound quality. Does not block enough outside sound to serve as hearing protection, nor would I expect it to, but it is close and works well for my needs in a tractor which isn't very loud.<br /><br />Pros:  Good sound quality.  Voice notifications lets you know on/off/pairing.  Comfortable (fits fully over my ears).  Range; I tried pairing to my phone when outside ready to hit the tractor and it wouldn't do it....came to realize it was still connected inside to my tablet which I had to go inside to disconnect.  Nice compact case.<br />Cons:  At this price point I can't complain.  The USB charger cable is unique and may be difficult to replace (USB to mic jack). They feel &#34;flimsy&#34; but then that means they are lightweight and comfortable for work-use or long games.<br />Unknowns:  I haven't run the battery dead yet to know run time; at least a few hours.  Microphone; haven't tried it.<br /><br />Bottom line:  when these wear out I will get another pair.  I will probably buy two more for my kids for road trips as they have systematically destroyed the &#34;wire&#34; with each wired set that I have bought them.",Work great and exceeded my expectations with both build and sound quality.  Pleasantly surprised.,5,1,268
92,"Jackery Giant+ Premium 12,000 mAh Dual USB Portable Battery Charger & External Battery Pack (Black)",Wireless,works well.  Can charge my iPad as well as my phone on one charge.  Very handy to take on a trip.,Works well,4,0,23
95,"TechMatte Car Mount MagGrip Windshield and Dashboard Universal Magnetic Car Mount With Device Holder for iPhone 6, 6S, Samsung Galaxy S6, S6 Edge (Black)",Wireless,"I am VERY happy with this holder.  The suction mount and positioning abilities are very high quality.  I use a 5.5 inch screen phone and a thin, hard-shell case.  The thin, metal plate fits easily between the back of my phone and its case, and it holds very firmly on the TechMatte's magnet.  I don't need the gripper portion, although it is also very nice quality.  And while it holds firmly, it also comes off when I want to grab my phone.<br />What I like the most about this mount is the ability to quickly put the phone on, or take it off with one hand and no fumbling about.  You can place the phone on it lengthwise, or straight up and down without difficulty.  Once on, the phone doesn't move while I'm driving through any turns, stops, or bumps.  It's just plain easy, reliable and functional.<br />The mount's suction cup is the best I've ever used -- and I've used many over the years.  It'll hold firm on any windshield, or on a dashboard horizontal pad.  The angle adjustments are easy to use, also high quality, and they hold firmly once in place.<br />This product is absolute proof of &#34;you get what you pay for.&#34;  Sure, you can get a cheaper Chinese knock-off on Ebay...but it won't be anything nearly as good.  I'm sold.  I'll be happy with this system for years.  I will likely purchase more as gifts for my kids this Christmas.",Best Mobile Phone Mount I've Ever Used,5,0,259
97,"iPhone 6 Case, elago S6 Genuine Leather Pocket Case for the iPhone 6 (4.7inch) - eco friendly Retail Packaging - [Limited Edition]",Wireless,Great case...but when i clean my home phone button with awesome spray it touches lil bit of casing frame and all suden change color for that particular part,Great case.,4,0,28
98,"PADDYZI EVA Shockproof Carrying Case/Gopro bags for Gopro Hero 4, 3+, 3, 2, 1 and Accessories - Tailor the Case to Your Unique Needs - Ideal for Travel or Home Storage (Small-(Black))",Wireless,"This case for the GoPro is perfect for two cameras and accessories. It will protect your gear very well without weighing you down, especially if you are traveling.",This case for the GoPro is perfect for two cameras and accessories,5,0,28
100,"TRUE 6,000 mAh ""Smart"" Power Bank (Blue) - Cell Phone Charger - Ultra Sleek with Aluminum 3-in1 cord ($20 Value FREE) and!",Wireless,I ordered two of these about 1.5 months ago. The first one did not work correctly right out of the box. Would not even charge my smart phone one time before running out of juice.<br />On the second unit the power button fell off after only a few weeks. I am very disappointed in these.<br /><br />Update:  After writing the previous review the manufacturer reached out to me and offered to send me replacements.  This was outstanding customer service and in every way makes up for the previous shortcomings.<br /><br />The new chargers both are functioning flawlessly and have neither issue the previous chargers had.  I am not very happy with my purchase.,Poor quality control,5,0,116
102,Vintage Embroidery Floral Case for Apple Iphone 4/4s,Wireless,"I ordered one and it's really pretty I love the decoration but within one day of having it, the corner was cracked and I didn't even drop my phone. So I ordered the free replacement and I had it for about a week an it's already chipped out of the bottom corner and again, I haven't dropped my phone.",I ordered one and it's really pretty I love the decoration but within one day of ...,1,0,59
104,"Galaxy S5 Waterproof Case, iThrough Underwater, Dust Snow Shock Proof Case with Touched Screen Protector, Heavy Duty Protective Carrying Cover Case With a 3.5mm AUX Cable for Galaxy S5",Wireless,"Did not test if it is actually waterproof but this case is very flimsy. The door for the charger port snapped off and the plastic base cracked. I went through two of these in a month. For a better quality case, get an Otterbox. If you want to take pictures underwater, just get a waterproof camera. I wouldn't risk breaking a $600 phone but if you want to...","Made cheaply, does not last - I would not trust putting my phone underwater in this",2,0,68
105,"LG G2 Screen Protector, IQ Shield LiQuidSkin Full Coverage Screen Protector for LG G2 (AT&T,Sprint,T-Mobile,Verizon) HD Clear Anti-Bubble Film - with",Wireless,love this product. Protected my phone for 2 years without peeling off. Had to change my phone and this is the first thing I bought for it. Must have!,love this product,5,0,29
106,"Vibrelli Universal Bike Phone Mount - Fits iPhone X, 8, 8 Plus, 7, 7 Plus, 6, 6 Plus and Android devices",Wireless,"This mount is excellent. Easy to use, stays in place without any slipping (about two weeks of use at this point), and could clearly accommodate most types of phones. Highly recommended.",This mount is excellent. Easy to use,5,1,31
