,namn,antal,gender
150,Amer,1463,pojknamn
151,Ammar,1456,pojknamn
152,Alaa,1426,pojknamn
153,Aleksander,1389,pojknamn
154,Angelo,1359,pojknamn
155,Aleksandar,1357,pojknamn
156,Aston,1157,pojknamn
157,Abdulkadir,1107,pojknamn
158,Armin,1098,pojknamn
159,Alrik,1046,pojknamn
160,Abbe,1032,pojknamn
161,Ahmet,1011,pojknamn
162,Armas,1000,pojknamn
163,Andrés,996,pojknamn
164,Angel,986,pojknamn
165,Astor,968,pojknamn
166,Akram,964,pojknamn
167,Abd,953,pojknamn
168,Antti,951,pojknamn
169,Ayman,929,pojknamn
170,Anwar,907,pojknamn
171,Andrei,902,pojknamn
172,Abdallah,885,pojknamn
173,Aram,879,pojknamn
174,Andre,850,pojknamn
175,Amar,849,pojknamn
176,Aaa,842,pojknamn
177,Attila,818,pojknamn
178,Adem,785,pojknamn
179,Arian,782,pojknamn
180,Birgitta,166457,flicknamn
181,Barbro,41033,flicknamn
182,Britt,34536,flicknamn
183,Berit,28953,flicknamn
184,Birgit,22933,flicknamn
185,Britt-Marie,16245,flicknamn
186,Britta,13184,flicknamn
187,Beatrice,9675,flicknamn
188,Brita,8556,flicknamn
189,Bodil,7627,flicknamn
190,Barbara,3903,flicknamn
191,Beata,3360,flicknamn
192,Bianca,3291,flicknamn
193,Britt-Mari,2982,flicknamn
194,Boel,2513,flicknamn
195,Betty,2407,flicknamn
196,Britt-Inger,1919,flicknamn
197,Bella,1904,flicknamn
198,Berta,1893,flicknamn
199,Britt-Louise,1674,flicknamn
200,Berith,1269,flicknamn
201,Benita,1118,flicknamn
202,Belinda,1028,flicknamn
203,Bonnie,960,flicknamn
204,Brigitte,911,flicknamn
205,Bozena,747,flicknamn
206,Belle,744,flicknamn
207,Birthe,725,flicknamn
208,Beatriz,722,flicknamn
209,Bente,705,flicknamn
210,Björnsdotter,705,flicknamn
211,Bibbi,692,flicknamn
212,Bettina,675,flicknamn
213,Birgitte,646,flicknamn
214,Beate,626,flicknamn
215,Britt Marie,612,flicknamn
216,Britt Inger,605,flicknamn
217,Bibi,594,flicknamn
218,Biljana,579,flicknamn
219,Björg,565,flicknamn
220,Blenda,536,flicknamn
221,Bushra,535,flicknamn
222,Bengtsdotter,514,flicknamn
223,Bent,510,flicknamn
224,Beda,478,flicknamn
225,Bahar,477,flicknamn
226,Britten,438,flicknamn
227,Bashir,434,flicknamn
228,Bayan,426,flicknamn
229,Blanca,407,flicknamn
230,Billie,401,flicknamn
231,Bitte,395,flicknamn
232,Bernice,394,flicknamn
233,Bertha,382,flicknamn
234,Beatrix,342,flicknamn
235,Beth,329,flicknamn
236,Batoul,327,flicknamn
237,Bea,327,flicknamn
238,Bernadette,323,flicknamn
239,Bojan,321,flicknamn
240,Beryl,313,flicknamn
241,Borghild,309,flicknamn
242,Berivan,303,flicknamn
243,Berna,281,flicknamn
244,Belma,280,flicknamn
245,Bertilsdotter,280,flicknamn
246,Branka,274,flicknamn
247,Basma,271,flicknamn
248,Brith,254,flicknamn
249,Blanche,253,flicknamn
250,Berfin,241,flicknamn
251,Blanka,241,flicknamn
252,Bernhardina,231,flicknamn
253,Brenda,226,flicknamn
254,Brigitta,226,flicknamn
255,Bosdotter,224,flicknamn
256,Birgith,222,flicknamn
257,Bogumila,221,flicknamn
258,Britt-Lis,215,flicknamn
259,Bengta,212,flicknamn
260,Benedicte,210,flicknamn
261,Bim,210,flicknamn
262,Brittmarie,205,flicknamn
263,Ban,204,flicknamn
264,Bich,194,flicknamn
265,Berhane,188,flicknamn
266,Bojana,187,flicknamn
267,Björk,184,flicknamn
268,Bo,184,flicknamn
269,Baraa,174,flicknamn
270,Bengt,91535,pojknamn
271,Bo,87930,pojknamn
272,Björn,61551,pojknamn
273,Bertil,59910,pojknamn
274,Börje,21717,pojknamn
275,Bernt,17512,pojknamn
276,Bror,17058,pojknamn
277,Birger,16419,pojknamn
278,Benjamin,14541,pojknamn
279,Benny,10537,pojknamn
280,Bert,6882,pojknamn
281,Bernhard,5091,pojknamn
282,Bruno,4606,pojknamn
283,Berndt,3303,pojknamn
284,Billy,3035,pojknamn
285,Bjarne,2640,pojknamn
286,Ben,2510,pojknamn
287,Bill,2477,pojknamn
288,Boris,2368,pojknamn
289,Bilal,1389,pojknamn
290,Brian,1360,pojknamn
291,Bengt-Åke,1210,pojknamn
292,Berne,1113,pojknamn
293,Bashir,1032,pojknamn
294,Berth,1012,pojknamn
295,Bernard,1005,pojknamn
296,Bassam,959,pojknamn
297,Bastian,937,pojknamn
298,Bob,869,pojknamn
299,Bengt-Olof,854,pojknamn
300,Bosse,817,pojknamn
301,Bogdan,795,pojknamn
302,Bashar,760,pojknamn
303,Bengt-Göran,739,pojknamn
304,Bengt-Erik,622,pojknamn
305,Brynolf,568,pojknamn
306,Bernth,555,pojknamn
307,Bent,551,pojknamn
308,Bobby,529,pojknamn
309,Basel,527,pojknamn
310,Birk,522,pojknamn
311,Bo-Göran,502,pojknamn
312,Boo,493,pojknamn
313,Bengt Åke,476,pojknamn
314,Bruce,451,pojknamn
315,Branko,429,pojknamn
316,Buster,422,pojknamn
317,Bartosz,416,pojknamn
318,Bojan,415,pojknamn
319,Berthold,414,pojknamn
320,Berhane,399,pojknamn
321,Bengt-Arne,395,pojknamn
322,Bobo,394,pojknamn
323,Bonde,391,pojknamn
324,Bereket,378,pojknamn
325,Barry,371,pojknamn
326,Belal,361,pojknamn
327,Bernd,359,pojknamn
328,Besim,353,pojknamn
329,Babak,352,pojknamn
330,Baran,339,pojknamn
331,Baltzar,337,pojknamn
332,Burhan,328,pojknamn
333,Brandon,324,pojknamn
334,Börge,321,pojknamn
335,Biniam,318,pojknamn
336,Bengt-Olov,313,pojknamn
337,Bryan,313,pojknamn
338,Bartlomiej,307,pojknamn
339,Basem,306,pojknamn
340,Bin,298,pojknamn
341,Bahram,292,pojknamn
342,Bengt Göran,291,pojknamn
343,Benno,291,pojknamn
344,Bertel,289,pojknamn
345,Bajram,284,pojknamn
346,Bekim,284,pojknamn
347,Brage,272,pojknamn
348,Berat,271,pojknamn
349,Basim,270,pojknamn
350,Bo Göran,270,pojknamn
351,Behnam,261,pojknamn
352,Bengt-Ove,251,pojknamn
353,Björne,247,pojknamn
354,Beppe,244,pojknamn
355,Besnik,243,pojknamn
356,Basil,234,pojknamn
357,Benyamin,234,pojknamn
358,Baker,231,pojknamn
359,Bahman,226,pojknamn
360,Christina,105706,flicknamn
361,Cecilia,64883,flicknamn
362,Carina,46549,flicknamn
363,Camilla,35090,flicknamn
364,Caroline,32885,flicknamn
365,Charlotte,30755,flicknamn
366,Charlotta,27242,flicknamn
367,Carolina,15868,flicknamn
368,Christine,12459,flicknamn
369,Carin,11490,flicknamn
370,Clara,11092,flicknamn
371,Catharina,9560,flicknamn
372,Cornelia,9417,flicknamn
373,Catarina,9375,flicknamn
374,Carola,8238,flicknamn
375,Christin,6772,flicknamn
376,Christel,4984,flicknamn
377,Cristina,4422,flicknamn
378,Catrin,3841,flicknamn
379,Carmen,3807,flicknamn
380,Carolin,3076,flicknamn
381,Cassandra,3076,flicknamn
382,Charlott,3036,flicknamn
383,Claudia,2839,flicknamn
384,Cathrine,2815,flicknamn
385,Cajsa,2200,flicknamn
386,Carita,2157,flicknamn
387,Celine,1961,flicknamn
388,Catherine,1926,flicknamn
389,Catrine,1760,flicknamn
390,Clary,1760,flicknamn
391,Chatarina,1472,flicknamn
392,Carla,1442,flicknamn
393,Cathrin,1368,flicknamn
394,Celina,1169,flicknamn
395,Charlie,883,flicknamn
396,Cindy,800,flicknamn
397,Constance,790,flicknamn
398,Céline,705,flicknamn
399,Claire,690,flicknamn
400,Christa,685,flicknamn
401,Caisa,617,flicknamn
402,Cleo,616,flicknamn
403,Carol,563,flicknamn
404,Connie,560,flicknamn
405,Chris,548,flicknamn
406,Catalina,513,flicknamn
407,Chanel,497,flicknamn
408,Chatrine,486,flicknamn
409,Celia,469,flicknamn
410,Chloé,469,flicknamn
411,Chelsea,460,flicknamn
412,Chloe,445,flicknamn
413,Corinne,406,flicknamn
414,Cynthia,393,flicknamn
415,Cecilie,392,flicknamn
416,Camila,372,flicknamn
417,Cristin,371,flicknamn
418,Celeste,360,flicknamn
419,Christiane,357,flicknamn
420,Chatrin,314,flicknamn
421,Cristine,284,flicknamn
422,Chantal,283,flicknamn
423,Corina,271,flicknamn
424,Casandra,269,flicknamn
425,Chanelle,268,flicknamn
426,Carlsdotter,264,flicknamn
427,Chiara,253,flicknamn
428,Carine,230,flicknamn
429,Cia,220,flicknamn
430,Camille,211,flicknamn
431,Christelle,207,flicknamn
432,Cicilia,205,flicknamn
433,Cordelia,191,flicknamn
434,Carolyn,186,flicknamn
435,Carole,184,flicknamn
436,Cherie,182,flicknamn
437,Charina,181,flicknamn
438,Cilla,178,flicknamn
439,Chi,175,flicknamn
440,Cim,167,flicknamn
441,Claesdotter,167,flicknamn
442,Cina,161,flicknamn
443,Catrina,159,flicknamn
444,Clarissa,158,flicknamn
445,Camelia,157,flicknamn
446,Caterina,157,flicknamn
447,Cristel,156,flicknamn
448,Claudine,153,flicknamn
449,Caitlin,151,flicknamn
450,Carl,136243,pojknamn
451,Christer,59027,pojknamn
452,Christian,38701,pojknamn
453,Claes,21562,pojknamn
454,Christoffer,20009,pojknamn
455,Conny,14465,pojknamn
456,Charlie,9795,pojknamn
457,Christopher,8977,pojknamn
458,Casper,6073,pojknamn
459,Charles,5862,pojknamn
460,Curt,5581,pojknamn
461,Clas,4265,pojknamn
462,Carlos,3300,pojknamn
463,Christofer,3062,pojknamn
464,Carl-Johan,2974,pojknamn
465,Colin,2264,pojknamn
466,Cristian,1741,pojknamn
467,Claes-Göran,1699,pojknamn
468,Calle,1467,pojknamn
469,Crister,1347,pojknamn
470,Cornelis,1171,pojknamn
471,Caspian,1124,pojknamn
472,Chris,1115,pojknamn
473,Cesar,1080,pojknamn
474,Conrad,1039,pojknamn
475,Carl-Gustav,852,pojknamn
476,Carl-Erik,845,pojknamn
477,Constantin,836,pojknamn
478,Clarence,793,pojknamn
479,Carl-Henrik,790,pojknamn
480,Carsten,786,pojknamn
481,Carl-Gustaf,749,pojknamn
482,Christos,732,pojknamn
483,Claudio,722,pojknamn
484,Carl-Axel,717,pojknamn
485,Claus,695,pojknamn
486,Charbel,682,pojknamn
487,Carl-Magnus,630,pojknamn
488,Cornelius,598,pojknamn
489,Carl Johan,592,pojknamn
490,Carl-Fredrik,579,pojknamn
491,Carlo,578,pojknamn
492,Caesar,546,pojknamn
493,Cristoffer,515,pojknamn
494,Can,506,pojknamn
495,Collin,488,pojknamn
496,Clas-Göran,456,pojknamn
497,Camilo,417,pojknamn
498,Caspar,392,pojknamn
499,Claude,384,pojknamn
500,Carl-Olof,383,pojknamn
501,Caj,343,pojknamn
502,Clifford,337,pojknamn
503,Clemens,328,pojknamn
504,Christoph,327,pojknamn
505,Carl-Eric,324,pojknamn
506,Ceasar,322,pojknamn
507,Csaba,304,pojknamn
508,Chi,303,pojknamn
509,Carl-Gunnar,269,pojknamn
510,Cliff,265,pojknamn
511,Cuong,246,pojknamn
512,Christophe,240,pojknamn
513,Carl-Göran,234,pojknamn
514,Casimir,233,pojknamn
515,Cameron,230,pojknamn
516,Craig,226,pojknamn
517,Catalin,217,pojknamn
518,Carl-Åke,216,pojknamn
519,Claes Göran,212,pojknamn
520,Cyril,201,pojknamn
521,Czeslaw,198,pojknamn
522,Curth,197,pojknamn
523,Cay,196,pojknamn
524,Cezary,190,pojknamn
525,Cedric,189,pojknamn
526,Cyrus,187,pojknamn
527,Cristopher,186,pojknamn
528,Cenneth,184,pojknamn
529,Cem,182,pojknamn
530,Claes-Håkan,178,pojknamn
531,Calvin,176,pojknamn
532,Cristofer,175,pojknamn
533,Carl-Oscar,171,pojknamn
534,Connie,169,pojknamn
535,Cai,165,pojknamn
536,Carl Magnus,165,pojknamn
537,Cevin,165,pojknamn
538,Carl-Anders,162,pojknamn
539,Chadi,158,pojknamn
540,Doris,8627,flicknamn
541,Diana,8484,flicknamn
542,Dagmar,5519,flicknamn
543,Dagny,4992,flicknamn
544,Desirée,4571,flicknamn
545,Denise,3671,flicknamn
546,Daniela,3127,flicknamn
547,Daniella,3110,flicknamn
548,Del,2816,flicknamn
549,Disa,2023,flicknamn
550,Dorotea,1696,flicknamn
551,Dina,1364,flicknamn
552,Desiré,1300,flicknamn
553,Daisy,1205,flicknamn
554,De,1180,flicknamn
555,Danuta,1134,flicknamn
556,Dorota,1103,flicknamn
557,Dorothea,1052,flicknamn
558,Dana,884,flicknamn
559,Dalia,882,flicknamn
560,Danielle,831,flicknamn
561,Désirée,790,flicknamn
562,Desideria,753,flicknamn
563,Desireé,752,flicknamn
564,Daga,714,flicknamn
565,Dolores,712,flicknamn
566,Dora,677,flicknamn
567,Denice,676,flicknamn
568,Daria,659,flicknamn
569,Deborah,655,flicknamn
570,Debora,586,flicknamn
571,Dorothy,572,flicknamn
572,Dania,569,flicknamn
573,Dragana,557,flicknamn
574,Danijela,520,flicknamn
575,Dominika,460,flicknamn
576,Dragica,448,flicknamn
577,Ditte,445,flicknamn
578,Desiree,444,flicknamn
579,Dima,420,flicknamn
580,Dalal,385,flicknamn
581,Dijana,374,flicknamn
582,Dahir,373,flicknamn
583,Diane,364,flicknamn
584,Dilan,352,flicknamn
585,Dahlia,348,flicknamn
586,Dominique,339,flicknamn
587,Danica,329,flicknamn
588,Destiny,322,flicknamn
589,Dilara,294,flicknamn
590,Deniz,283,flicknamn
591,Donna,282,flicknamn
592,Derya,277,flicknamn
593,Dimitra,259,flicknamn
594,Davida,257,flicknamn
595,Delia,252,flicknamn
596,Donya,252,flicknamn
597,Doaa,249,flicknamn
598,Denize,244,flicknamn
599,Daphne,240,flicknamn
600,Dawood,228,flicknamn
601,Dorrit,226,flicknamn
602,Dolly,225,flicknamn
603,Dunia,224,flicknamn
604,Dorthy,222,flicknamn
605,Darya,213,flicknamn
606,Dilek,207,flicknamn
607,Dafina,205,flicknamn
608,Delina,205,flicknamn
609,Duaa,203,flicknamn
610,Despina,196,flicknamn
611,Denisa,195,flicknamn
612,Dunya,195,flicknamn
613,Daniel,189,flicknamn
614,Dalila,184,flicknamn
615,Donia,184,flicknamn
616,Dusanka,183,flicknamn
617,Dajana,177,flicknamn
618,Dawn,177,flicknamn
619,Darin,167,flicknamn
620,Dorit,163,flicknamn
621,Dea,161,flicknamn
622,Dung,158,flicknamn
623,Drita,155,flicknamn
624,Da,153,flicknamn
625,Desire,148,flicknamn
626,Dalya,146,flicknamn
627,Dagmara,145,flicknamn
628,Danielsdotter,143,flicknamn
629,Dorina,141,flicknamn
630,Daniel,88183,pojknamn
631,David,54835,pojknamn
632,Dan,22710,pojknamn
633,Dennis,16762,pojknamn
634,Dick,5133,pojknamn
635,Douglas,4815,pojknamn
636,Dag,4317,pojknamn
637,Dante,2395,pojknamn
638,Donald,1783,pojknamn
639,Denis,1562,pojknamn
640,Didrik,1308,pojknamn
641,Dragan,1306,pojknamn
642,Dylan,1076,pojknamn
643,Dariusz,1070,pojknamn
644,Danny,1038,pojknamn
645,Dexter,1025,pojknamn
646,Dimitrios,1000,pojknamn
647,Dino,982,pojknamn
648,Dejan,938,pojknamn
649,Damian,930,pojknamn
650,Diego,866,pojknamn
651,Dawid,821,pojknamn
652,Denny,818,pojknamn
653,Dominic,720,pojknamn
654,Deniz,718,pojknamn
655,Damir,716,pojknamn
656,Dominik,714,pojknamn
657,Dieter,689,pojknamn
658,Devin,629,pojknamn
659,Dario,614,pojknamn
660,Dawit,553,pojknamn
661,Darko,544,pojknamn
662,Dani,539,pojknamn
663,Danilo,535,pojknamn
664,Dahir,526,pojknamn
665,Darin,486,pojknamn
666,Danial,485,pojknamn
667,Dean,457,pojknamn
668,Danijel,453,pojknamn
669,Dusan,444,pojknamn
670,Duc,437,pojknamn
671,Damien,433,pojknamn
672,Darius,430,pojknamn
673,De,414,pojknamn
674,Dimitri,342,pojknamn
675,Dawood,340,pojknamn
676,Don,340,pojknamn
677,Dilan,301,pojknamn
678,Diyar,300,pojknamn
679,Dana,298,pojknamn
680,Dirk,294,pojknamn
681,Dion,284,pojknamn
682,Daoud,264,pojknamn
683,Derek,256,pojknamn
684,Denniz,252,pojknamn
685,Dominique,242,pojknamn
686,Dorian,233,pojknamn
687,Dalibor,224,pojknamn
688,Davor,216,pojknamn
689,Dane,211,pojknamn
690,Duy,207,pojknamn
691,Dinh,199,pojknamn
692,Daud,198,pojknamn
693,Dung,198,pojknamn
694,Dara,196,pojknamn
695,Diar,195,pojknamn
696,Desmond,192,pojknamn
697,Daniele,190,pojknamn
698,Drago,184,pojknamn
699,Dumitru,179,pojknamn
700,Driton,178,pojknamn
701,Dzevad,178,pojknamn
702,Davide,175,pojknamn
703,Dong,169,pojknamn
704,Damon,167,pojknamn
705,Dany,162,pojknamn
706,Darian,160,pojknamn
707,Dimitris,157,pojknamn
708,Djordje,157,pojknamn
709,Darren,156,pojknamn
710,Dewin,156,pojknamn
711,Detlef,154,pojknamn
712,Dardan,153,pojknamn
713,Donny,153,pojknamn
714,Duncan,148,pojknamn
715,Demir,145,pojknamn
716,Dmitri,144,pojknamn
717,Dave,143,pojknamn
718,Dariush,135,pojknamn
719,Davood,135,pojknamn
720,Elisabeth,208085,flicknamn
721,Eva,190127,flicknamn
722,Elisabet,132056,flicknamn
723,Emma,74543,flicknamn
724,Elin,61316,flicknamn
725,Elsa,45362,flicknamn
726,Emelie,28383,flicknamn
727,Emilia,27383,flicknamn
728,Ebba,27264,flicknamn
729,Ellen,27046,flicknamn
730,Erika,27010,flicknamn
731,Ella,20785,flicknamn
732,Evelina,18425,flicknamn
733,Elvira,16726,flicknamn
734,Ester,14569,flicknamn
735,Elise,13191,flicknamn
736,Ellinor,12677,flicknamn
737,Eleonora,11450,flicknamn
738,Eivor,11131,flicknamn
739,Ewa,10828,flicknamn
740,Elina,10112,flicknamn
741,Evy,8568,flicknamn
742,Erica,8151,flicknamn
743,Elsie,7811,flicknamn
744,Edith,7355,flicknamn
745,Emmy,6987,flicknamn
746,Elizabeth,6784,flicknamn
747,Edit,5796,flicknamn
748,Elena,5255,flicknamn
749,Elna,5171,flicknamn
750,Eleonor,5138,flicknamn
751,Elsy,4062,flicknamn
752,Elly,3932,flicknamn
753,Elinor,3897,flicknamn
754,Elvy,3862,flicknamn
755,Esther,3756,flicknamn
756,Ellie,3668,flicknamn
757,Eva-Lena,3504,flicknamn
758,Engla,3142,flicknamn
759,Emily,3124,flicknamn
760,Emilie,3123,flicknamn
761,Ethel,3059,flicknamn
762,Evelyn,3047,flicknamn
763,Else,2782,flicknamn
764,Elisa,2772,flicknamn
765,Erna,2665,flicknamn
766,Eila,2207,flicknamn
767,Eva-Britt,2186,flicknamn
768,Emelia,2175,flicknamn
769,Eira,2107,flicknamn
770,Elenor,2072,flicknamn
771,Elma,2057,flicknamn
772,Elaine,2051,flicknamn
773,Eleonore,1941,flicknamn
774,Estelle,1934,flicknamn
775,Eugenia,1848,flicknamn
776,Elzbieta,1843,flicknamn
777,Eva-Lotta,1750,flicknamn
778,Eva-Marie,1625,flicknamn
779,Emmie,1589,flicknamn
780,Embla,1536,flicknamn
781,Esmeralda,1483,flicknamn
782,Emmelie,1346,flicknamn
783,Edla,1299,flicknamn
784,Eija,1290,flicknamn
785,Emina,1283,flicknamn
786,Eeva,1206,flicknamn
787,Estrid,1174,flicknamn
788,Elvi,1097,flicknamn
789,Emy,1068,flicknamn
790,Else-Marie,1056,flicknamn
791,Elli,1025,flicknamn
792,Enya,1009,flicknamn
793,Eleni,952,flicknamn
794,Eriksdotter,887,flicknamn
795,Elida,851,flicknamn
796,Ellinore,849,flicknamn
797,Ellenor,832,flicknamn
798,Ejvor,804,flicknamn
799,Ewelina,793,flicknamn
800,Emine,788,flicknamn
801,Eveline,787,flicknamn
802,Eva-Karin,775,flicknamn
803,Eliza,766,flicknamn
804,Evelin,748,flicknamn
805,Emeli,691,flicknamn
806,Elif,685,flicknamn
807,Emmi,673,flicknamn
808,Edina,655,flicknamn
809,Eva-Maria,637,flicknamn
810,Erik,298874,pojknamn
811,Emil,54263,pojknamn
812,Eric,34495,pojknamn
813,Emanuel,29818,pojknamn
814,Elias,29199,pojknamn
815,Edvin,17641,pojknamn
816,Evert,16498,pojknamn
817,Einar,15054,pojknamn
818,Ernst,11164,pojknamn
819,Elliot,8694,pojknamn
820,Erland,8339,pojknamn
821,Edvard,8238,pojknamn
822,Erling,7151,pojknamn
823,Elis,6887,pojknamn
824,Edward,6032,pojknamn
825,Ebbe,6026,pojknamn
826,Egon,5452,pojknamn
827,Eskil,5190,pojknamn
828,Eddie,5073,pojknamn
829,Evald,4178,pojknamn
830,Edwin,4069,pojknamn
831,Elof,3651,pojknamn
832,Enar,2728,pojknamn
833,Elton,2712,pojknamn
834,Eugen,2425,pojknamn
835,Emilio,2297,pojknamn
836,Elvis,2236,pojknamn
837,Elvin,2054,pojknamn
838,Edgar,1764,pojknamn
839,Elmer,1679,pojknamn
840,Esbjörn,1674,pojknamn
841,Eduardo,1582,pojknamn
842,Enrique,1535,pojknamn
843,Erkki,1515,pojknamn
844,Ensio,1477,pojknamn
845,Emir,1378,pojknamn
846,Eugén,1313,pojknamn
847,Emmanuel,1257,pojknamn
848,Elliott,1218,pojknamn
849,Edmund,1187,pojknamn
850,Elon,1133,pojknamn
851,Egil,1091,pojknamn
852,Edin,1088,pojknamn
853,Eddy,1047,pojknamn
854,Eino,1045,pojknamn
855,Eje,984,pojknamn
856,Eero,926,pojknamn
857,Ejnar,861,pojknamn
858,Esa,858,pojknamn
859,Ernesto,857,pojknamn
860,Esko,826,pojknamn
861,Enzo,823,pojknamn
862,Emad,812,pojknamn
863,Emin,809,pojknamn
864,Eilert,808,pojknamn
865,Eli,706,pojknamn
866,Emrik,699,pojknamn
867,Evan,677,pojknamn
868,Enes,675,pojknamn
869,Eduard,656,pojknamn
870,Elving,655,pojknamn
871,Emre,651,pojknamn
872,Elov,648,pojknamn
873,Elvir,648,pojknamn
874,Erich,637,pojknamn
875,Eve,604,pojknamn
876,Esteban,576,pojknamn
877,Efraim,541,pojknamn
878,Elia,534,pojknamn
879,Ebrahim,509,pojknamn
880,Erwin,505,pojknamn
881,Eddin,503,pojknamn
882,Engelbrekt,480,pojknamn
883,Ehsan,475,pojknamn
884,Erhard,455,pojknamn
885,Ebbot,445,pojknamn
886,Enver,443,pojknamn
887,El,440,pojknamn
888,Enok,438,pojknamn
889,Ernest,406,pojknamn
890,Elie,399,pojknamn
891,Ellert,395,pojknamn
892,Ervin,387,pojknamn
893,Eldin,386,pojknamn
894,Elijah,370,pojknamn
895,Esaias,365,pojknamn
896,Elwin,361,pojknamn
897,Einari,355,pojknamn
898,Erick,343,pojknamn
899,Eivind,320,pojknamn
900,Frida,30420,flicknamn
